id,question,answer
18,பிறப்பு பதிவேட்டில் உள்ள தகவல்களை மாற்ற விண்ணப்பிக்க யார் தகுதியுடையவர்கள்?,"பிறப்பு சான்றிதழ் வைத்திருப்பவர், தந்தை அல்லது தாய், சட்ட ரீதியான பாதுகாவலர் அல்லது பிறப்பு சான்றிதழில் உள்ள தகவல்களுடன் அதிருப்தியுள்ள நபர் விண்ணப்பிக்கலாம்."
19,பிறப்பு பதிவேட்டில் தகவல்களை மாற்ற விண்ணப்பிக்க என்ன ஆவணங்கள் தேவை?,"மாற்றம் செய்ய வேண்டிய பிறப்பு சான்றிதழின் சான்றொப்பப் பிரதி, பெற்றோர் திருமணச் சான்றிதழ், பெற்றோரின் பிறப்பு சான்றிதழ்கள், மருத்துவமனை அல்லது பாடசாலை பதிவுகள், வாக்காளர் பதிவேடு, இறந்த தந்தையின் மரணச் சான்றிதழ் ஆகியவை தேவைப்படும்."
20,"ஒரு மரணப் பதிவில் உள்ள தகவல்களை திருத்தும் வழிமுறை என்ன?","மரணம் நிகழ்ந்த இடத்துக்குரிய பிராந்திய செயலகத்தின் கூடுதல் மாவட்ட பதிவாளருக்கு அறிவிப்பு சமர்ப்பிக்க வேண்டும். இந்த அறிவிப்பை சம்பந்தப்பட்ட பதிவு செய்த நபர் அல்லது உண்மையை அறிந்த நபர் வழங்கலாம். பதிவு செய்யப்பட்ட தேதியை தவிர மற்ற அனைத்து தகவல்களையும் மாற்றலாம். Rs.60.00 கட்டணமும், தேவையான ஆதார ஆவணங்களும் சேர்க்க வேண்டும்."
21,"மரணப் பதிவில் உள்ள தகவல்களை திருத்தும்போது யாரால் அறிவிப்பு சமர்ப்பிக்க முடியும்?","மரண பதிவு செய்த நபர் அல்லது சம்பவம் குறித்த உண்மையை அறிந்த நபர் அறிவிப்பை சமர்ப்பிக்கலாம்."
22,"திருமண பதிவுச் சான்றிதழில் தவறான தகவலை திருத்துவதற்கான வழிமுறை என்ன?","திருத்த வேண்டிய திருமணத்தில் பங்கு பெற்றவர்கள் வழக்கறிஞர் மூலமாக அனுமதி பெற்ற மாவட்ட நீதிமன்றத்துக்கு கோரிக்கை சமர்ப்பிக்க வேண்டும். தேவையான ஆவணங்கள்: திருமண சான்றிதழ் மற்றும் நீதிமன்றம் கோரும் பிற ஆவணங்கள். ஆவணங்களின் பிழையாக இருந்தால், சம்பந்தப்பட்ட பிராந்திய செயலகத்தின் கூடுதல் மாவட்ட பதிவாளரிடம் தகவல் கொடுத்து ஒற்றை நகலின் துல்லியத்தை சரிபார்க்கலாம்."
23,"திருமண சான்றிதழில் உள்ள பிழையை சரி செய்வதற்கு யார் மாவட்ட நீதிமன்றத்தில் கோரிக்கை விடுக்க முடியும்?","திருத்த வேண்டிய திருமணத்தில் பங்கு பெற்ற இருவரும், வழக்கறிஞர் மூலமாக மாவட்ட நீதிமன்றத்தில் கோரிக்கை சமர்ப்பிக்க முடியும்."
24,"கண்டியன் திருமணச் சான்றிதழில் தவறான தகவலை திருத்துவதற்கான செயல்முறை என்ன?","திருமண பதிவு செய்யப்பட்ட இடத்தின் பிராந்திய செயலகத்தில் உள்ள கூடுதல் மாவட்ட பதிவாளரிடம் கோரிக்கை சமர்ப்பிக்க வேண்டும். தேவையான ஆவணங்கள்: திருமணச் சான்றிதழ், தவறு இடம்பெற்றுள்ள விபரம் மற்றும் சரியான தகவல்களுடன் கூடிய சத்தியப்பிரமாணம், மேலும் ஆதாரங்களை நிரூபிக்கும் பிற ஆவணங்கள்."
25,"கண்டியன் திருமணச் சான்றிதழில் உள்ள பிழையை திருத்த மாவட்ட செயலகத்தில் யாரிடம் தொடர்புகொள்ள வேண்டும்?","திருத்த வேண்டிய கோரிக்கை, திருமணம் பதிவு செய்யப்பட்ட பிராந்திய செயலகத்தின் கூடுதல் மாவட்ட பதிவாளரிடம் சமர்ப்பிக்க வேண்டும்."
26,"பிறப்புச் சான்றிதழுக்கான ஆதார ஆவணங்களை வழங்க முடியாதவர்களுக்கு 'ஊக வயது' சான்றிதழ் பெறுவதற்கான செயல்முறை என்ன?","பிறந்த இடத்திற்குரிய பிராந்திய செயலகத்தில், ஊக வயது சான்றிதழுக்காக விண்ணப்பிக்கலாம். தேவைப்படும் ஆவணங்கள்: பிரகடனங்கள், ஆவண தேடலின் முடிவுகள், சத்தியப்பிரமாணங்கள் மற்றும் பதிவுகள், கிராமநிலதாரி அறிக்கைகள், பிறப்பை நிரூபிக்கும் தகவல்கள். பிறந்த தேதி குறிப்பிட வேண்டுமெனில், அதனை நிரூபிக்கும் ஆவணங்கள் சமர்ப்பிக்க வேண்டும்."
27,"ஊக வயது சான்றிதழ் தொடர்பான மேலதிக தகவல்களை யார் மூலம் பெறலாம்?","உங்களுக்குச் அருகிலுள்ள பிராந்திய செயலகத்தின் கூடுதல் மாவட்ட பதிவாளரிடமிருந்து ஆலோசனை பெறலாம்."
28,"கிறிஸ்தவ பாதிரியாரால் திருமணம் செய்ய விரும்புபவர்கள் பின்பற்றவேண்டிய முக்கிய நடவடிக்கைகள் என்ன?","திருமண அறிவிப்பு (Notice of Marriage) இரண்டு நகல்களில் தயாரித்து, பிராந்திய திருமண பதிவாளரிடம் சமர்ப்பிக்க வேண்டும். குறைந்தது ஒரு பக்கம் கடந்த 10 நாட்களுக்கு ஸ்ரீலங்காவில் வசித்திருக்க வேண்டும். இருவரும் 18 வயதைக் கடந்திருக்க வேண்டும், எந்த ஒரு சட்டத்திற்கும் முரணான உறவினர்கள் இல்லாமல் இருக்க வேண்டும், நிலுவையிலுள்ள திருமணம் இருக்கக்கூடாது. விவாகரத்து செய்யப்பட்டவர்கள் 'absolute decree' நகலை சமர்ப்பிக்க வேண்டும்."
29,"பாதிரியாரால் நடத்தப்படும் திருமணத்திற்கு பிறகு சட்டபூர்வமாக திருமணச் சான்றிதழ் பெறுவது எப்படி?","திருமணத்தின் பின்னர் பாதிரியார் வழங்கும் சினோட் சான்றிதழ் (B112) ஐ திருமணம் நடந்த தேவாலயத்திற்கு உட்பட்ட பிராந்திய செயலகத்தின் கூடுதல் மாவட்ட பதிவாளரிடம் சமர்ப்பித்து, உத்தியோகபூர்வ திருமணச் சான்றிதழைப் பெறலாம்."
30,இறப்பு சான்றிதழின் உறுதிப்பத்திரப் பிரதிகளை எவ்வாறு பெறுவது?,இறப்பு சான்றிதழின் உறுதிப்பத்திரப் பிரதிகளை இறப்பு ஏற்பட்ட இடத்தின் பிரிவு செயலாளர் அலுவலகத்தில் பெற முடியும். அத்துடன், அது தரவுத்தளத்தில் உள்ளதெனில் அருகிலுள்ள எந்த பிரிவு செயலாளர் அலுவலகத்திலும் பெற முடியும்.
31,இறப்பு சான்றிதழின் உறுதிப்பத்திரம் பெறுவதற்கு தேவையான கட்டணங்கள் என்ன?,இறப்பு சான்றிதழின் பதிவு எண் மற்றும் தேதி தெரிந்தால் ஒரு பிரதிக்கு ரூ.120.00 கட்டணம் விதிக்கப்படுகிறது. அது தெரியாமல் இருந்தால், ரூ.250.00 கட்டணம் விதிக்கப்படுகிறது.
32,திருமணச் சான்றிதழின் உறுதிப்பத்திரப் பிரதிகளை எவ்வாறு பெறுவது?,திருமணச் சான்றிதழின் உறுதிப்பத்திரப் பிரதிகளை திருமணம் நடந்த இடத்தின் பிரிவு செயலாளர் அலுவலகத்தில் பெற முடியும். அதேசமயம், அது தரவுத்தளத்தில் உள்ளதெனில், அருகிலுள்ள பிரிவு செயலாளர் அலுவலகத்திலும் பெற முடியும்.
33,திருமணச் சான்றிதழின் உறுதிப்பத்திரம் பெறுவதற்கு தேவையான கட்டணங்கள் என்ன?,திருமணச் சான்றிதழின் பதிவு எண், பதிவு பிரிவு மற்றும் பதிவு தேதி தெரிந்தால், ஒரு பிரதிக்கு ரூ.120.00 கட்டணம் விதிக்கப்படுகிறது. அது தெரியாமல் இருந்தால், ரூ.250.00 கட்டணம் விதிக்கப்படுகிறது.
34,"ஒரு ஸ்ரீலங்கன் மற்றும் ஒரு வெளிநாட்டவருக்கிடையிலான திருமணத்தை பதிவு செய்ய எத்தனை முக்கிய ஆவணங்கள் தேவை?", "திருமண அறிவிப்பு (இரு நகல்களில் தயாரிக்கப்பட்டு சான்றளிக்கப்பட்டது), வெளிநாட்டவர் இலங்கைக்கு வருவதற்கான விசா, அவருடைய கடவுச்சீட்டு மற்றும் அதற்கான நகல், அவருடைய சொந்த நாட்டின் நிபந்தனைப்பாட்டை உறுதிப்படுத்தும் ஆவணங்கள், ஆரோக்கிய நிலையை உறுதிப்படுத்தும் சுகாதார சான்றிதழ், பிறந்த சான்றிதழ் மற்றும் அதன் நகல், மற்றும் கடைசியாக பதிவாளர் பொது அதிகாரியிடமிருந்து அனுமதி பெறவேண்டும்."
35,"ஸ்ரீலங்கன் மற்றும் வெளிநாட்டவர் திருமணம் பதிவு செய்யுமிடத்தில் எவ்வளவு நேரம் எடுக்கின்றது?", "இந்த ஆவணங்களை வழங்கிய நாளிலிருந்து 14 வேலை நாட்கள் ஆகின்றது, மேலும் பதிவு செய்யும்போது தேவையான ஆவணங்கள் 4 நகல்களில் சமர்ப்பிக்க வேண்டும். மேலும், பதிவாளர் பொது அதிகாரியிடமிருந்து வழங்கப்படும் அனுமதி 3 மாதங்களுக்குள் செல்லுபடியாகும்."
36,"வீட்டில் மரணம் நிகழ்ந்துள்ள நிலையில் அதை பதிவு செய்ய என்ன செய்ய வேண்டும்?", "மரணம் நடந்த 5 நாட்களில் கிராம நிர்வாகிக்கு அறிவிப்பு அளிக்க வேண்டும். கிராம நிர்வாகி வடிவமைக்கப்பட்ட B24 படிவத்தின் மூலம் பதிவு செய்வதற்கான தகவலை பிரத்தியேக பிறப்பு மற்றும் மரணம் பதிவாளருக்கு அனுப்ப வேண்டும். மரணம் நடந்த இடத்திற்கு ஏற்ப பிறப்பு மற்றும் மரணம் பதிவாளர் அந்த மரணத்தை பதிவு செய்கிறார்."
37,"மரணம் மருத்துவமனையில் நிகழ்ந்தால், அது எவ்வாறு பதிவு செய்யப்படும்?", "மரணம் நிகழ்ந்த மருத்துவமனையின் பிறப்பு மற்றும் மரணம் பதிவாளர் என்பதை அறிவிக்க வேண்டும். பதிவு செய்ய தேவையான படிவமான CR02 பெற வேண்டும். மரணத்தை பதிவு செய்ய சிகிச்சை அளித்த மருத்துவ அதிகாரி அல்லது மரணத்தை கண்டு பிடித்த நபர் தகவல் தர முடியும்."
38,"மரணம் மருத்துவமனையில் நிகழ்ந்தால், பதிவு செய்ய எந்த ஆவணங்கள் தேவை?", "CR02 பதிவு படிவம், மருத்துவமனையிலிருந்து வழங்கப்பட்ட மரணம் உறுதிப்படுத்தும் அறிக்கை ஆகியவற்றை சமர்ப்பிக்க வேண்டும். மரணம் 3 மாதங்கள் உள்ளே இலவசமாக பதிவு செய்ய முடியும்."
39,"ஒரு இலங்கை நபரின் மரணம் வெளிநாட்டில் நிகழ்ந்தால், அதை எவ்வாறு பதிவு செய்ய முடியும்?", "இலங்கைத் தூதரகம் அல்லது உயர் கமிஷனர் அலுவலகம் அதன் உரிய நாட்டில் மரணத்தை பதிவு செய்ய முடியும். இதில், மரணத்தை அறிவிக்க தேவையான அறிவிப்பு இலங்கைத் தூதரகம் அல்லது உயர் கமிஷனர் அலுவலகத்திலிருந்து பெறப்படுகிறது."
40,"ஒரு இலங்கை நபரின் மரணத்தை பதிவு செய்ய எந்த ஆவணங்கள் தேவை?", "மரணத்தை பதிவு செய்ய தேவையான ஆவணங்களில் இலங்கை அல்லது இரு பிரஜாதுர்மி என பூர்த்தி செய்யும் ஆவணங்கள், மறைந்த நபரின் பாஸ்போர்ட், மரண சான்றிதழ், மருத்துவமனையின் மரண காரணம் பதிவு செய்த அறிக்கை, பிறந்த சான்றிதழ், உரிய உறவு சான்றிதழ்கள் உள்ளிட்டவை சேர்க்கப்பட வேண்டும்."
41,"ஒரு வெளிநாட்டில் இறந்த இலங்கை நபரின் மரணத்தை Sri Lanka-வில் பதிவு செய்ய முடியாதபோது என்ன செய்ய வேண்டும்?", "ஒரு வருடத்திற்கு பிறகு வெளியே உள்ள தூதரகம் அல்லது உயர் கமிஷனர் அலுவலகத்தில் அரசு கட்டணத்தை செலுத்தி மரணத்தை பதிவு செய்ய முடியாவிட்டால், அந்த நாடு வந்த தூதரகம் அல்லது உயர் கமிஷனரிடம் ஆவணங்களை சமர்ப்பித்து மாலிகவட்டத்திலுள்ள மத்திய பதிவகத்தில் அனுப்பி பெறப்பட்ட அங்கீகாரம் மூலம் பதிவு செய்ய முடியும்."
42,"ஒரு வெளிநாட்டில் இறந்த இலங்கை நபரின் மரணத்தை Sri Lanka-வில் பதிவு செய்ய எந்த ஆவணங்கள் தேவை?", "மரணத்தை பதிவு செய்ய தேவையான ஆவணங்களில் சரியான நிரப்பப்பட்ட அறிவிப்பு, வெளிநாட்டு மரண சான்றிதழ், மரணக் காரணம் குறிப்பிடப்படாவிட்டால், மரணக் காரணம் குறிப்பிடப்பட்ட அறிக்கை, மறைந்த நபரின் பிறந்த சான்றிதழ், பாஸ்போர்ட், சாவு உடல் இந்த நாட்டுக்கு கொண்டு வரப்பட்டிருந்தால், கப்பல் ரசீது, உறவு சான்றிதல், படகு கட்டணங்கள், வெளிநாட்டு அமைச்சர் வெளியிட்ட கடிதம், மரண பதிவு கட்டணத்துடன் தொடர்புடைய பத்திரிகை மற்றும் ஆவணங்களை முன்னிட்டு பிற மொழிகளில் உள்ள ஆவணங்களை தமிழில், ஆங்கிலத்தில் மொழிபெயர்க்க வேண்டும்."
43,"ஆன்லைனில் பிறப்புச் சான்றிதழ் நகலை எங்கு விண்ணப்பிக்கலாம்?","https://online.ebmd.rgd.gov.lk இணையதளத்தின் மூலம் ஆன்லைனில் பிறப்புச் சான்றிதழை விண்ணப்பிக்கலாம்."
44,"பிறப்புச் சான்றிதழ் பெற செலுத்த வேண்டிய கட்டணம் எவ்வளவு?","பிறப்புச் சான்றிதழ் எண் மற்றும் பதிவு தேதி தெரிந்தால் ரூ.120.00 செலுத்த வேண்டும். அவை தெரியாமல், இரண்டு ஆண்டுகளுக்குள் தேட வேண்டியிருந்தால், ரூ.250.00 செலுத்த வேண்டும்."
45,"வெளிநாட்டில் இறந்த ஒருவரின் மரணத்தை இலங்கையில் பதிவு செய்ய முடியுமா?","ஆம், இறந்தவர் ஒரு இலங்கையர் அல்லது இரட்டை குடியுரிமை கொண்டவர் என்றால், தேவையான ஆவணங்களை வழங்கி மரணத்தை இலங்கையில் பதிவு செய்யலாம்."
46,"வெளிநாட்டில் இறந்த ஒருவரின் மரணம் பதிவாகாமல் ஒரு வருடம் கடந்த பிறகு என்ன செய்ய வேண்டும்?","ஒரு வருடத்திற்குப் பிறகு பதிவு செய்யும் போது, தேவையான ஆவணங்களை சம்பந்தப்பட்ட வெளிநாட்டு தூதரகம் மூலமாக மாலிகாவத்தை மத்திய பதிவகத்திற்குப் அனுப்ப வேண்டும்."
47,"தோட்டத்தில் ஒரு மரணம் நிகழ்ந்தால் அதை எப்போது அறிவிக்க வேண்டும்?","மரணம் நடந்த 24 மணிநேரத்துக்குள், உரிய நபர்கள் தோட்ட மேலாளருக்கு தகவல் கொடுக்க வேண்டும்."
48,"தோட்ட மேலாளர் மரணத்தை பதிவு செய்ய என்ன செய்கிறார்?","தோட்ட மேலாளர் மரண அறிக்கையை பதிவு செய்து, மாவட்ட வைத்திய அதிகாரியின் ஊடாக பங்குப்பிரிவு செயலாளர் அலுவலகத்துக்கு CR02 படிவத்துடன் அனுப்புகிறார்."
49,"ஒரு குழந்தையை தத்தெடுக்க விண்ணப்பிப்பவரின் குறைந்தபட்ச வயது என்ன?","விண்ணப்பிக்கிற நபரின் வயது குறைந்தபட்சம் 25 ஆண்டுகள் இருக்க வேண்டும்."
50,"தத்தெடுக்கின்ற நபருக்கும் குழந்தைக்கும் இடையிலான குறைந்தபட்ச வயது வித்தியாசம் என்ன?","வயது வித்தியாசம் குறைந்தபட்சம் 21 ஆண்டுகள் இருக்க வேண்டும். ஆனால் குழந்தை, விண்ணப்பதாரரின் உறவினர் அல்லது வாழ்க்கைத்துணையின் பிள்ளையாக இருந்தால், இது பொருந்தாது."
51,"ஒரு குழந்தையை தத்தெடுக்க விண்ணப்பிக்கும் போது குழந்தையின் ஒப்புதல் எப்போது தேவைப்படுகிறது?","தத்தெடுக்கப்படும் குழந்தையின் வயது 10 ஆண்டுகளுக்கு மேல் இருந்தால், அவரது எழுத்துமூல ஒப்புதல் அவசியம்."
52,"ஒரு குழந்தையை தத்தெடுக்கும் போது குழந்தையின் பிறப்பை மீண்டும் பதிவு செய்ய என்ன ஆவணங்கள் தேவை?","B149 விண்ணப்பம், பெற்றோரின் திருமணச் சான்றிதழ் நகல், பெற்றோர் பிறப்புச் சான்றிதழ்கள், குழந்தையின் பழைய பிறப்புச் சான்றிதழ் அல்லது காலியான பதிவு விளைவுகள் ஆகியவை தேவை."

